ID,Name,Type,Biome,HP,Attack,Armor,Loot,AI_Visual_Description
drowned_sailor,Drowned_Sailor,Enemy,swamp,130,30,0,rusty_nail,A soggy undead sailor with a bloated gray face and seaweed in his hair. Dragging a heavy rusted anchor.
vine_strangler,Vine_Strangler,Enemy,swamp,150,32,0,vine,A mass of sentient thick green vines with thorns. Central flower mouth that snaps at the player; wet leaf textures.
ooze_cube,Ooze_Cube,Enemy,swamp,200,20,20,slime,A transparent lime-green cube of jelly. Floating skeletal remains and half-dissolved items are visible inside.
blood_flyer,Blood_Flyer,Enemy,swamp,80,42,0,proboscis,A giant mosquito with a pulsing red abdomen and needle-sharp legs. Veiny translucent wings and a twitching proboscis.
deep_lurker,Deep_Lurker,Enemy,abyss,250,45,15,heavy_iron,A massive angler-fish-humanoid hybrid with thick leathery skin. A glowing lure dangles from its forehead; rows of translucent teeth.
glow_eel,Glow_Eel,Enemy,abyss,150,55,0,neon_ink,A long serpentine eel with neon-cyan stripes that pulse with electricity. Fins look like tattered silk; dark deep-sea blue skin.
drowned_captain,Drowned_Captain,Enemy,abyss,300,50,10,gold_doubloon,"An undead officer in a heavy brass diving suit. Barnacles cover the metal; the glass visor is cracked, revealing a skeletal grin."
bone_picker,Bone_Picker,Enemy,abyss,180,48,0,whale_oil,A small hunched creature with a massive backpack of scavenged whale bones. Wearing a mask made of a shark skull.
heat_crab,Heat_Crab,Enemy,abyss,220,42,25,sulfur,A crab with a shell that looks like cooling volcanic rock. Steam vents on its back and pincers that glow orange-hot.
void_ray,Void_Ray,Enemy,abyss,160,60,0,echo_essence,"A manta-ray shape made of starry nebula gas. Fins ripple with space-like energy; no eyes, just a pulsing core."
angler_fiend,Angler_Fiend,Enemy,abyss,280,65,0,biolamp,A terrifying deep-sea predator with elongated spindly limbs. Multiple glowing lures and a jaw that unhinges 180 degrees.
shock_jelly,Shock_Jelly,Enemy,abyss,120,75,0,electric_gel,A massive jellyfish with long stinging tentacles that crackle with white lightning. Transparent body showing a glowing brain.
merrow_king,Merrow_King,Enemy,abyss,400,55,20,trident_tip,A majestic but decaying merman with a crown of black coral. Skin is translucent and pale; holding a heavy obsidian trident.
current_wraith,Current_Wraith,Enemy,abyss,200,62,0,ocean_tear,A ghost made entirely of bubbles and swirling dark water. Wields the crushing pressure of the deep like a weapon.
void_stalker,Void_Stalker,Enemy,void,400,70,20,void_scroll,A tall slender entity with skin like the night sky. Featureless face with three vertical glowing slits; glitched reality effects.
brain_eater,Brain_Eater,Enemy,void,350,85,0,mind_essence,An octopus-like creature with a massive exposed glowing brain. Tentacles end in surgical needles; floats with a pulsing aura.
vampire_lord,Vampire_Lord,Enemy,void,500,80,15,ancient_heart,A regal figure in black silk and armor. Skin is marble-white; eyes are pits of pure void; cape turns into shadows.
forge_automaton,Forge_Automaton,Enemy,void,600,65,40,obsidian_plate,A heavy mechanical guardian made of black obsidian. Glowing violet joints and a massive hammer for a hand.
the_keeper,The_Keeper,Enemy,void,1000,100,50,master_key,A titan-sized entity in gold and white robes. Face is a giant floating golden keyhole; hands are made of constellation lines.
gravity_well,Gravity_Well,Enemy,void,450,95,0,singularity,A floating black hole surrounded by orbiting debris. Screen distorts slightly when it moves; deep bass sound effects.
echo_shade,Echo_Shade,Enemy,void,300,110,0,dark_mirror,A mirrored copy of the player character but in monochrome gray. Movements are slightly delayed; face is a cracked mirror.
glitch_horror,Glitch_Horror,Enemy,void,380,120,0,corrupt_data,An entity that shifts between 2D and 3D shapes. Covered in digital artifacts and flickering scanlines; high-pitched static sounds.
rift_walker,Rift_Walker,Enemy,void,420,90,0,void_shard,A creature with multiple sets of legs and no torso. Walks through floating rifts; body is made of purple crystalline shards.
silent_one,Silent_One,Enemy,void,550,75,30,muffled_tongue,A monk in heavy leaden armor with his mouth sewn shut. Carries a massive bell that emits silence instead of sound.
lava_slug,Lava_Slug,Enemy,the_core,600,90,30,fire_shard,A massive slug of molten orange rock. Leaves a trail of fire; body pulses with heat waves and air distortion.
steam_mephit,Steam_Mephit,Enemy,the_core,400,120,0,cloud_essence,A small imp made of pressurized steam. Hissing sounds and white vapor trails; face is a brass pressure gauge.
iron_golem,Core_Guardian,Enemy,the_core,1200,100,80,pure_iron,A colossal knight made of white-hot iron. Every step creates a localized tremor; holding a massive molten shield.
fire_bat,Fire_Bat,Enemy,the_core,350,110,0,ember,A bat with wings made of solar flares. Body is a charred skeleton; leaves a shower of sparks when it flies.
sulfur_spirit,Sulfur_Spirit,Enemy,the_core,500,130,0,sulfur_dust,A yellowish-green cloud of toxic gas with two angry glowing eyes. Face is permanently twisted in a choking expression.
smelter_demon,Smelter_Demon,Enemy,the_core,1500,150,60,molten_core,A demonic titan with a furnace for a chest. Molten metal leaks from its mouth; horns are made of cooling black rock.
rock_spider,Diamond_Spider,Enemy,the_core,800,115,100,diamond,A spider with a body made of a single massive diamond. Sharp prismatic reflections; legs are needles of reinforced steel.
ash_wraith,Ash_Wraith,Enemy,the_core,650,140,0,ash_pile,A spirit made of falling ash and embers. Shape is constantly shifting; eyes are the color of cooling coals.
automaton_scout,Core_Scout,Enemy,the_core,550,125,45,power_cell,A small spherical drone with a single large red lens. Brass casing with spinning gears and steam vents.
cinder_cat,Cinder_Cat,Enemy,the_core,700,160,0,burning_pelt,A large cat made of black charcoal with veins of fire. Fur is made of rising smoke; tail is a whip of flame.
blacksmith,Grimbald,NPC,town,100,15,0,"gold (20-30), sharpened-blades",A massive man with a soot-stained leather apron and a bushy gray beard. Shoulders like an ox; holding a glowing hammer.
merchant,Silas_the_Sly,NPC,town,40,0,0,"gold (100-300), potion",A skinny man in a colorful patchwork coat. Multiple pouches and hidden pockets; shifty eyes and a wide toothy grin.
mayor,Mayor_Sterling,NPC,town,30,0,0,town_seal,A rotund man in fine blue velvet and a golden chain of office. Always wiping his brow with a silk handkerchief.
innkeeper,Martha,NPC,town,50,0,0,"ale, bread",A jolly woman with flour on her cheeks and a white apron. Braided hair and a warm motherly expression.
priest,Father_Thomas,NPC,town,45,0,0,holy_water,A tall thin man in simple gray robes. Carrying a wooden staff and a silver locket; gentle but tired eyes.
librarian,Evelyn,NPC,town,25,0,0,"old_map, scroll",A woman with silver hair in a tall bun. Wearing half-moon glasses and a shawl covered in ink stains.
stablehand,Barnaby,NPC,town,40,0,0,"apple, rope",A young boy with messy hair and straw in his boots. Always has a smudge of dirt on his nose; energetic posture.
guard_captain,Captain_Vane,NPC,town,120,20,0,iron_shield,A grizzled veteran in polished steel armor. A deep scar across one eye; standing at strict attention.
baker,Oswald,NPC,town,35,0,0,"bread, flour",A muscular man with white-powdered arms and a chef's hat. Carrying a tray of steaming golden loaves.
beggar,Old_Wat,NPC,town,15,0,0,strange_coin,A man in tattered rags with a long unkempt beard. One eye is clouded over; clutching a dirty wooden bowl.
mystic,Elowen,NPC,forest,50,0,0,moon_essence,A woman in robes of starlight and vine. Eyes are a deep cosmic purple; floating slightly off the ground.
herbalist,Fauna,NPC,forest,30,0,0,"healing_herb, poison_ivy",A young woman with braids held by flowers. Wearing a green tunic with dozens of herb-filled vials hanging from her belt.
woodcutter,Thrain,NPC,forest,80,18,0,"bundle_of_wood, hand_axe",A burly man with a thick red beard and a heavy flannel shirt. Carrying a massive double-bitted axe.
ranger,Kael,NPC,forest,70,0,0,"arrow_bundle, leather_scraps",A lean man in camouflaged green and brown leather. A longbow strapped to his back; sharp hawk-like gaze.
lost_child,Timmy,NPC,forest,10,0,0,lucky_rabbit_foot,A small boy in oversized boots and a tattered hat. Big watery eyes and clutching a stuffed rabbit.
druid,Elder_Rowan,NPC,forest,90,0,0,oak_staff,An ancient man with a beard made of living moss. Wearing a crown of antlers and robes of woven bark.
fey_spirit,Glimmer,NPC,forest,20,0,0,fairy_dust,A tiny glowing sprite with wings like a dragonfly. Leaves a trail of sparkling dust; constantly moving.
hunter,Huntsman_Jorg,NPC,forest,75,0,0,"pelt, dried_meat",A weathered man in furs and buckskin. Carrying a heavy crossbow; smelling of pine and dried blood.
satyr,Pan,NPC,forest,55,0,0,wooden_flute,A humanoid with goat legs and small horns. Playing a wooden flute; mischievous grin and dancing eyes.
strange_rabbit,Mr._Whiskers,NPC,forest,5,0,0,clover,A rabbit with an unnaturally large pocket watch around its neck. Fur is a pristine white; constantly twitching its nose.
frost_hermit,Kjell,NPC,ice_caves,60,0,0,frozen_berries,A man in heavy blue furs with icicles in his beard. Living in a hollowed-out ice block; calm and stoic.
frozen_explorer,Sir_Alistair,NPC,ice_caves,40,0,0,old_compass,"A man in a Victorian explorer's outfit, half-covered in frost. Shivering violently but clutching a leather journal."
ice_giant,Brundle,NPC,ice_caves,500,40,0,giant_club,A titan made of pale blue flesh and white hair. Wearing mammoth-skin loincloth; surprisingly gentle face.
cryomancer,Lysandra,NPC,ice_caves,65,0,0,"ice_shard, scroll",A woman with skin as white as snow and hair of flowing water. Wearing elegant crystalline armor.
snow_scout,Erik,NPC,ice_caves,55,0,0,climbing_pick,A man in white camouflage with snowshoes and a grappling hook. Face is mostly covered by a fur-lined hood.
berg_merchant,Ol_Salty,NPC,ice_caves,45,0,0,"firewood, blanket",A man with a red nose and a heavy wool coat. Standing behind a stall made of a frozen shipwreck.
ice_sculptor,Marius,NPC,ice_caves,30,0,0,chisel,A man with blue-stained fingers and a heavy parka. Working on a massive block of ice with a silver chisel.
polar_guide,Sanna,NPC,ice_caves,80,0,0,heavy_boots,A woman in thick furs with a team of ghostly sled dogs. Carrying a glowing lantern that cuts through the mist.
ghost_miner,Miner_49er,NPC,ice_caves,0,0,0,silver_ore,A translucent gold-colored ghost with a pickaxe. Wearing a wide-brimmed hat and a dusty vest.
yeti_outcast,Grog,NPC,ice_caves,150,0,0,white_fur,A smaller yeti with a friendly face and a flower behind its ear. Sitting on a pile of soft snow.
nomad_leader,Zayd,NPC,desert,85,0,0,scimitar,A tall man in flowing white robes and a gold-trimmed turban. A hawk perches on his leather-clad arm.
oasis_keeper,Layla,NPC,desert,40,0,0,waterskin,A woman in teal silk and silver jewelry. Carrying a clay water jar on her shoulder; serene expression.
archeologist,Professor_Hurn,NPC,desert,45,0,0,magnifying_glass,A man in a khaki suit and a pith helmet. Covered in dust and holding a small brush; excited expression.
sand_sailor,Capt._Dune,NPC,desert,70,0,0,silk_sail,A woman with wind-burned skin and goggles. Standing on a ship with wooden skis for sand-sailing.
sphinx_npc,The_Riddle-Maker,NPC,desert,1000,0,0,ancient_wisdom,A massive stone sphinx with a human face that moves. Eyes glow with ancient knowledge; voice echoes like thunder.
genie_trapped,Jafarish,NPC,desert,200,0,0,magic_lamp,A blue smoke-like entity emerging from a brass lamp. Wearing gold armbands and a sarcastic expression.
caravan_cook,Fatima,NPC,desert,50,0,0,spice_pouch,A kind woman with colorful scarves and a giant wooden spoon. Standing over a pot of aromatic stew.
scorpion_charmer,Malik,NPC,desert,60,0,0,venom_vial,A man with tattoos of scorpions on his arms. Playing a strange reed instrument; several scorpions crawl on his shoulders.
sun_priest,Ra-Amun,NPC,desert,90,0,0,solar_disc,A man in gold-and-white linen with a hawk-head mask. Holding a golden disc that reflects the sun's rays.
exiled_prince,Khalid,NPC,desert,110,22,0,royal_signet,A young man in tattered royal finery with a noble bearing. Carrying a scimitar with a ruby in the hilt.
swamp_hag,Old_Mother_Bile,NPC,swamp,120,0,0,"jar_of_teeth, witch_brew",A hunched woman with skin like green leather and a nose like a root. Wearing a shawl made of frog skins.
bog_doctor,Dr._Quack,NPC,swamp,55,0,0,leech_vial,A man in a leather plague doctor mask with a long beak. Carrying a jar of pulsing black leeches.
ferryman,Charon,NPC,swamp,999,0,0,oar,A skeletal figure in a heavy hooded cloak. Standing on a flat wooden boat; eyes are two glowing coins.
mud_fisher,Bubba,NPC,swamp,45,0,0,catfish,A man in overalls and a floppy hat. Sitting on a stump with a fishing pole; missing several teeth.
frog_folk_elder,Croak,NPC,swamp,40,0,0,lily_pad_shield,A humanoid frog in a tiny reed vest. Sitting on a giant lily pad; large golden eyes and a wise expression.
swamp_hermit,Mossy_Pete,NPC,swamp,50,0,0,moss_cloak,A man so covered in moss and mud he looks like a bush. Only his eyes and a long wooden pipe are visible.
reptile_trader,Slyther,NPC,swamp,65,0,0,reptile_scale,A humanoid with snake-like features and a long tongue. Wearing a vest made of alligator skin.
bayou_bard,Banjo_Ben,NPC,swamp,40,0,0,banjo,A skeleton in a tattered tuxedo playing a banjo made of a turtle shell. Foot is tapping a rhythm.
sunken_ghost,Lost_Soldier,NPC,swamp,0,0,0,rusty_medal,A translucent gray ghost of a soldier in ancient armor. Standing knee-deep in swamp water; looking lost.
swamp_alchemist,Vex,NPC,swamp,70,0,0,gas_bomb,A woman in a gas mask and chemical-stained apron. Surrounded by bubbling beakers and green smoke.
deep_diver,Commander_Nemo,NPC,abyss,110,0,0,brass_helmet,A man in an ornate steampunk diving suit with a glass dome. Holding a heavy mechanical wrench.
mermaid,Arielis,NPC,abyss,80,0,0,sea_shell,A woman with long flowing hair and a shimmering teal tail. Wearing necklaces made of glowing pearls.
coral_king,Neptos,NPC,abyss,300,35,0,trident,A massive merman with a beard of kelp and a crown of black coral. Stern and powerful expression.
pearl_seeker,Mina,NPC,abyss,55,0,0,black_pearl,A young woman in a simple diving suit with a net of glowing shells. Agile and energetic posture.
ancient_naga,Sssar,NPC,abyss,150,0,0,naga_scale,A massive serpent-woman with four arms and a face like a statue. Eyes are solid gold.
pilot_jack,Pilot_Jack,NPC,abyss,60,0,0,wrench,A man in a leather bomber jacket and goggles inside a small brass submarine. Looking stressed.
sea_hag,Barnacle_Barb,NPC,abyss,95,0,0,kelp_potion,A woman with hair made of octopus tentacles and skin covered in barnacles. Grinning with jagged teeth.
drowned_poet,Byron,NPC,abyss,0,0,0,wet_journal,A translucent ghost of a man in romantic-era clothing. Holding a quill and a dripping book.
trench_merchant,Barnaby_the_Bottom,NPC,abyss,70,0,0,gold_bar,A man in a heavy weighted suit sitting on a pile of sunken gold. Friendly and eccentric.
jelly_whisperer,Lumi,NPC,abyss,45,0,0,glow_gel,A woman in a dress made of glowing jellyfish silk. Surrounded by small floating translucent jellies.
void_trader,The_Unmaker,NPC,void,500,0,0,void_essence,A hooded figure whose body is a swirling vortex of stars. Hands are made of white light.
past_self,A_Familiar_Face,NPC,void,100,0,0,memory_fragment,An exact copy of the player character but with glowing blue eyes and a faint static effect.
time_keeper,Chronos,NPC,void,1000,0,0,broken_watch,"A man in robes made of clock parts and gears. Face is half-human, half-mechanical clockwork."
star_gazer,Nova,NPC,void,60,0,0,stardust,A woman with hair that looks like a nebula. Holding a telescope that looks into other dimensions.
fragmented_mind,Subject_0,NPC,void,40,0,0,binary_key,A person flickering between several different appearances. Surrounded by floating binary code.
paradox_merchant,The_Seller_of_Secrets,NPC,void,80,0,0,echo_blade,A man in a cloak that changes color every second. Carrying a box that is larger on the inside.
null_priest,Voidwalker,NPC,void,150,0,0,dark_tome,A figure in black-on-black robes with a face hidden by a void-mask. Calm and meditative.
memory_thief,The_Forgetter,NPC,void,90,0,0,stolen_memory,A small mischievous imp with a bag full of glowing memories. Constant nervous laughter.
rift_scientist,Dr._Strange,NPC,void,75,0,0,lab_notes,A man in a white lab coat with wild hair and glowing goggles. Scribbling on a floating tablet.
last_soul,The_End,NPC,void,10,0,0,final_tear,A small flickering candle-like spirit in a dark room. Gentle and melancholic.
legendary_smith,Vulcan,NPC,the_core,2000,100,0,titan_hammer,A giant of a man with skin like cooling lava and hair of fire. Working at a massive obsidian anvil.
magma_miner,Rocky,NPC,the_core,150,30,0,magma_ore,A humanoid made of sentient rock wearing a hard hat. Carrying a drill that glows orange.
steam_engineer,Watt,NPC,the_core,80,0,0,steam_gauge,A man in a heavy brass exosuit with multiple steam vents. Constantly adjusting dials and valves.
heat_shaman,Igneous,NPC,the_core,130,0,0,fire_totem,A woman in robes of ash and soot. Holding a staff topped with a pulsing magma crystal.
core_surveyor,Mapper_Mark,NPC,the_core,70,0,0,heat_map,A man in a heat-resistant suit with a massive scroll of holographic maps. Looking confused.
obsidian_artist,Glass-Man,NPC,the_core,50,0,0,obsidian_statue,A man with hands made of sharp black glass. Surrounded by beautiful but dangerous statues.
pressure_mechanic,Fix-it_Felix,NPC,the_core,90,0,0,heat_resistant_wrench,A stout man with a mechanical arm and a toolbox full of glowing tools. Focused and determined.
fire_dancer,Blaze,NPC,the_core,110,0,0,burning_fan,"A woman performing a dance with fans made of actual flame. Moving with fluid, dangerous grace."
elemental_emissary,Sulfur,NPC,the_core,180,0,0,sulfur_gem,A humanoid figure made of yellow gas and crystals. Speaking with a voice that sounds like a hiss.
foundry_overseer,Master_Burner,NPC,the_core,250,0,0,overseer_whip,A stern man in heavy iron armor with a whip made of molten lead. Constantly shouting orders.
