ID,ID_icon,card_power,Name,name_es,name_de,name_fr,Type,Rarity,Value,Description,Description_text,Special Effect,AI_Visual_Description,AI_full,AI_Visual_Description_icon,AI_icon,Name_espanol,Description_espanol
chisel,chisel_icon,4,Stone Chisel,Cincel de piedra,Steinmeißel,Ciseau à pierre,attack,common,5,Deal 5 physical damage,Fine precision tool,,A sharp metal chisel with a flattened head and a wooden handle used for carving stone.,,A sharp metal chisel with a flattened head and a wooden handle used for carving stone.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
heavy_boots,heavy_boots_icon,4,Heavy Boots,Botas pesadas,Schwere Stiefel,Bottes lourdes,armor,common,4,Add 4 armor until next damage,Protects against floor traps,,A pair of thick leather boots with reinforced iron soles and heavy buckles.,,A pair of thick leather boots with reinforced iron soles and heavy buckles.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
white_fur,white_fur_icon,5,White Fur,Pelaje blanco,Weißes Fell,Fourrure blanche,armor,common,7,Add 7 armor until next damage,Elegant and warm,,A luxurious cape of pure white fox fur draped elegantly in a snowy setting.,,A luxurious cape of pure white fox fur draped elegantly in a snowy setting.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
scimitar,scimitar_icon,5,Curved Scimitar,Cimitarra curva,Krummsäbel,Cimeterre courbe,attack,common,11,Deal 11 physical damage,Swift slashing weapon,,A slender curved blade of Damascus steel with a gold-hilted handle.,,A slender curved blade of Damascus steel with a gold-hilted handle.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
waterskin,waterskin_icon,5,Waterskin,Odre,Trinkschlauch,Outre,heal,common,8,Restore 8 health,Refreshing water,,A traditional leather pouch filled with water with a wooden stopper and moisture on the outside.,,A traditional leather pouch filled with water with a wooden stopper and moisture on the outside.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
ancient_wisdom,ancient_wisdom_icon,5,Ancient Wisdom,Sabiduría antigua,Alte Weisheit,Sagesse ancienne,prepare,common,0,Unlocks potential,Unlocks potential,Charge,A translucent spectral brain silhouette filled with swirling golden nebula clouds.,,A translucent spectral brain silhouette filled with swirling golden nebula clouds.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
spice_pouch,spice_pouch_icon,5,Spice Pouch,Bolsa de especias,Gewürzbeutel,Sachet d'épices,heal,common,2,Restore 2 health,Adds a little kick,,A small burlap bag leaking colorful red and orange powders with a spicy aroma.,,A small burlap bag leaking colorful red and orange powders with a spicy aroma.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
venom_vial,venom_vial_icon,5,Venom Vial,Vial de veneno,Giftfläschchen,Fiole de venin,attack,uncommon,15,Deal 15 physical damage,Apply to your blade,Poison,A triangular glass bottle containing a viscous bubbling purple liquid.,,A triangular glass bottle containing a viscous bubbling purple liquid.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
solar_disc,solar_disc_icon,5,Solar Disc,Disco solar,Sonnenscheibe,Disque solaire,attack_fire,uncommon,20,Deal 20 fire damage,Radiates pure heat,Burn,A golden metallic disc engraved with a sunburst pattern emitting blinding orange light.,,A golden metallic disc engraved with a sunburst pattern emitting blinding orange light.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
jar_of_teeth,jar_of_teeth_icon,5,Jar of Teeth,Tarro de dientes,Gefäß mit Zähnen,Bocal de dents,trap,uncommon,12,Take 12 damage,Spooky and sharp,,A dusty mason jar filled with various pointed animal and humanoid teeth.,,A dusty mason jar filled with various pointed animal and humanoid teeth.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
witch_brew,witch_brew_icon,5,Witch Brew,Brebaje de bruja,Hexengebräu,Potion de sorcière,heal,uncommon,20,Restore 20 health,Tastes like swamp water,Random,A cauldron-shaped mug filled with murky bubbling green soup and a floating eyeball.,,A cauldron-shaped mug filled with murky bubbling green soup and a floating eyeball.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
leech_vial,leech_vial_icon,6,Leech Vial,Vial de sanguijuelas,Blutegelfläschchen,Fiole de sangsues,heal,uncommon,10,Restore 10 health,Medicinal bloodletting,Lifesteal,A glass jar containing several dark segmented leeches swimming in stagnant water.,,A glass jar containing several dark segmented leeches swimming in stagnant water.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
oar,oar_icon,6,Wooden Oar,Remo de madera,Holzruder,Rame en bois,attack,uncommon,7,Deal 7 physical damage,Blunt rowing tool,,A long splintered wooden paddle with a flat blade and a worn handle.,,A long splintered wooden paddle with a flat blade and a worn handle.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
catfish,catfish_icon,6,Slime Catfish,Bagre de limo,Schleimwels,Poisson-chat de vase,heal,uncommon,5,Restore 5 health,"Hard to hold, easy to eat",,A slippery grey catfish with long whiskers glistening in a coat of thick slime.,,A slippery grey catfish with long whiskers glistening in a coat of thick slime.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
lily_shield,lily_shield_icon,6,Lily Pad Shield,Escudo de nenúfar,Seerosenblattschild,Bouclier de nénuphar,armor,uncommon,4,Add 4 armor until next damage,Lightweight nature block,,A giant reinforced lily pad with a wooden frame and water droplets on the surface.,,A giant reinforced lily pad with a wooden frame and water droplets on the surface.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
moss_cloak,moss_cloak_icon,6,Moss Cloak,Capa de musgo,Moosmantel,Cape de mousse,armor,uncommon,5,Add 5 armor until next damage,Blends into the swamp,,A hooded cloak made of woven peat and living green moss for camouflage.,,A hooded cloak made of woven peat and living green moss for camouflage.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
reptile_scale,reptile_scale_icon,6,Reptile Scale,Escama de reptil,Reptilienschuppe,Écaille de reptile,armor,uncommon,8,Add 8 armor until next damage,Hardened protection,,A single large overlapping scale from a dragon or lizard with a metallic emerald sheen.,,A single large overlapping scale from a dragon or lizard with a metallic emerald sheen.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
gas_bomb,gas_bomb_icon,6,Gas Bomb,Bomba de gas,Gasbombe,Bombe à gaz,trap,uncommon,20,Take 20 damage,Noxious fumes,Poison,A fragile ceramic sphere leaking thick yellowish-green smoke from several cracks.,,A fragile ceramic sphere leaking thick yellowish-green smoke from several cracks.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
brass_helmet,brass_helmet_icon,6,Brass Helmet,Casco de latón,Messinghelm,Casque en laiton,armor,uncommon,9,Add 9 armor until next damage,Protects the noggin,,A shiny yellow-brass helmet with a red plume and a protective face visor.,,A shiny yellow-brass helmet with a red plume and a protective face visor.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
trident,trident_icon,6,Sea Trident,Tridente marino,Meeresdreizack,Trident de mer,attack,uncommon,16,Deal 16 physical damage,Lord of the waves,Pierce,A three-pronged spear made of sea-green metal with barnacles encrusted near the tips.,,A three-pronged spear made of sea-green metal with barnacles encrusted near the tips.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
naga_scale,naga_scale_icon,7,Naga Scale,Escama de naga,Nagaschuppe,Écaille de naga,armor,uncommon,12,Add 12 armor until next damage,Legendary serpent skin,,A shimmering iridescent scale that changes color from blue to purple under light.,,A shimmering iridescent scale that changes color from blue to purple under light.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
wrench,wrench_icon,7,Heavy Wrench,Llave pesada,Schwerer Schraubenschlüssel,Clé lourde,attack,uncommon,10,Deal 10 physical damage,Mechanical force,,A massive rusted iron adjustable wrench with oily stains and heavy weight.,,A massive rusted iron adjustable wrench with oily stains and heavy weight.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
kelp_potion,kelp_potion_icon,7,Kelp Potion,Poción de algas,Kelptrank,Potion de varech,heal,uncommon,12,Restore 12 health,Salty and restorative,,A bottle made of sea glass filled with dark green liquid and floating seaweed bits.,,A bottle made of sea glass filled with dark green liquid and floating seaweed bits.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
glow_gel,glow_gel_icon,7,Glow Gel,Gel brillante,Leuchtgel,Gel luisant,prepare,uncommon,0,Luminescent slime,Luminescent slime,Glow,A jar of glowing neon blue jelly that lights up its surroundings with a soft glow.,,A jar of glowing neon blue jelly that lights up its surroundings with a soft glow.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
void_essence,void_essence_icon,7,Void Essence,Esencia del vacío,Leerenessenz,Essence du vide,attack_magic,uncommon,25,Power from the abyss,Power from the abyss,Weaken,A swirling mass of absolute darkness that seems to suck the light out of the room.,,A swirling mass of absolute darkness that seems to suck the light out of the room.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
stardust,stardust_icon,7,Stardust,Polvo de estrellas,Sternenstaub,Poussière d'étoiles,prepare,uncommon,0,Power from the stars,Power from the stars,Charge,A small glass vial filled with sparkling silver sand that twinkles like the night sky.,,A small glass vial filled with sparkling silver sand that twinkles like the night sky.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
echo_blade,echo_blade_icon,7,Echo Blade,Hoja del eco,Echoklinge,Lame d'écho,attack,uncommon,14,Deal 14 physical damage,A resonating strike,Double Strike,A translucent sword that leaves a vibrating afterimage when moved.,,A translucent sword that leaves a vibrating afterimage when moved.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
dark_tome,dark_tome_icon,7,Dark Tome,Tomo oscuro,Dunkler Band,Tome sombre,attack_magic,uncommon,22,Forbidden knowledge,Forbidden knowledge,Curse,A book bound in black leather with a glowing purple eye on the cover that blinks.,,A book bound in black leather with a glowing purple eye on the cover that blinks.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
final_tear,final_tear_icon,7,Final Tear,Lágrima final,Letzte Träne,Larme finale,heal,uncommon,50,Restore 50 health,Supreme restoration,,A single giant diamond-like teardrop that glows with a blinding holy light.,,A single giant diamond-like teardrop that glows with a blinding holy light.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
titan_hammer,titan_hammer_icon,8,Titan Hammer,Martillo de titán,Titanenhammer,Marteau de titan,attack,uncommon,40,Deal 40 physical damage,God-like strength,Stun,A colossal stone hammer with glowing blue runes that crack the ground it rests on.,,A colossal stone hammer with glowing blue runes that crack the ground it rests on.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
fire_totem,fire_totem_icon,8,Fire Totem,Tótem de fuego,Feuertotem,Totem de feu,attack_fire,uncommon,25,Deal 25 fire damage,A pillar of flame,Burn,A carved wooden pillar with a face that breathes actual fire from its mouth.,,A carved wooden pillar with a face that breathes actual fire from its mouth.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
resistant_wrench,resistant_wrench_icon,8,Heat-Wrench,Llave de calor,Hitzeschlüssel,Clé de chaleur,attack,uncommon,12,Deal 12 physical damage,Forged in the core,,A wrench made of glowing red-hot metal that never cools down.,,A wrench made of glowing red-hot metal that never cools down.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
burning_fan,burning_fan_icon,8,Burning Fan,Abanico ardiente,Brennender Fächer,Éventail brûlant,attack_fire,uncommon,15,Deal 15 fire damage,Waves of heat,Burn,A folding fan made of orange silk that produces flames when flicked open.,,A folding fan made of orange silk that produces flames when flicked open.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
overseer_whip,overseer_whip_icon,8,Overseer Whip,Látigo del capataz,Aufseherpeitsche,Fouet de surveillant,attack,uncommon,18,Deal 18 physical damage,Lashes out fiercely,Bleed,A long leather whip with small metal barbs and a bone handle.,,A long leather whip with small metal barbs and a bone handle.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
wood_splinter,wood_splinter_icon,8,Wood Splinter,Astilla de madera,Holzsplitter,Éclat de bois,trap,uncommon,2,Take 2 damage,Small but annoying,,A tiny sharp piece of cedar wood magnified to show jagged dangerous edges.,,A tiny sharp piece of cedar wood magnified to show jagged dangerous edges.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
tax_form,tax_form_icon,8,Tax Form,Formulario de impuestos,Steuerformular,Formulaire d'impôt,trap,uncommon,5,Take 5 damage,Financial burden,,A stack of bureaucratic parchment with complex red seals and boring text.,,A stack of bureaucratic parchment with complex red seals and boring text.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
stolen_lunch,stolen_lunch_icon,8,Stolen Lunch,Almuerzo robado,Gestohlenes Mittagessen,Déjeuner volé,heal,uncommon,12,Restore 12 health,Deliciously criminal,,A paper bag with a sandwich and a juice box looking slightly squashed but tasty.,,A paper bag with a sandwich and a juice box looking slightly squashed but tasty.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
honey,honey_icon,8,Jar of Honey,Tarro de miel,Honigglas,Pot de miel,heal,uncommon,18,Restore 18 health,Natural sweetness,,A golden jar of thick viscous honey with a wooden dipper inside.,,A golden jar of thick viscous honey with a wooden dipper inside.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
shadow_essence,shadow_essence_icon,9,Shadow Essence,Esencia de sombra,Schattenessenz,Essence d'ombre,attack_magic,uncommon,18,Cloaked in darkness,Cloaked in darkness,Blind,A puff of black smoke shaped like a hooded figure with glowing white eyes.,,A puff of black smoke shaped like a hooded figure with glowing white eyes.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
tangled_vine,tangled_vine_icon,9,Tangled Vine,Liana enredada,Verschlungene Ranke,Liane emmêlée,trap,uncommon,8,Take 8 damage,Trips the unwary,Root,A mass of thorny brown vines coiled like a snake on a dirt path.,,A mass of thorny brown vines coiled like a snake on a dirt path.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
glowing_mushroom,glowing_mushroom_icon,9,Mushroom,Seta,Pilz,Champignon,heal,uncommon,7,Restore 7 health,Bioluminescent snack,,A bright blue mushroom with white spots that glows in the dark.,,A bright blue mushroom with white spots that glows in the dark.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
venom_gland,venom_gland_icon,9,Venom Gland,Glándula de veneno,Giftdrüse,Glande à venin,attack,uncommon,13,Deal 13 physical damage,Raw natural toxin,Poison,An organic fleshy sac with a dripping needle-like tip and green liquid inside.,,An organic fleshy sac with a dripping needle-like tip and green liquid inside.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
carapace,carapace_icon,9,Beetle Carapace,Caparazón de escarabajo,Käferpanzer,Carapace de scarabée,armor,rare,11,Add 11 armor until next damage,Chitinous armor,,A piece of thick black insect shell that is incredibly hard and glossy.,,A piece of thick black insect shell that is incredibly hard and glossy.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
rotten_flesh,rotten_flesh_icon,9,Rotten Flesh,Carne podrida,Verrottetes Fleisch,Chair putréfiée,trap,rare,12,Take 12 damage,Smells of decay,Sickness,A piece of graying putrid meat with green flies buzzing around it.,,A piece of graying putrid meat with green flies buzzing around it.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
glass_shard,glass_shard_icon,9,Glass Shard,Fragmento de vidrio,Glassplitter,Éclat de verre,attack,rare,9,Deal 9 physical damage,Don't cut yourself,Bleed,A triangular piece of broken mirror glass with blood on the sharp edge.,,A triangular piece of broken mirror glass with blood on the sharp edge.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
light_dust,light_dust_icon,9,Light Dust,Polvo de luz,Lichtstaub,Poussière de lumière,prepare,rare,0,Sparkles with energy,Sparkles with energy,Charge,A handful of glowing golden dust being blown into the air.,,A handful of glowing golden dust being blown into the air.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
rusty_nail,rusty_nail_icon,9,Rusty Nail,Clavo oxidado,Rostiger Nagel,Clou rouillé,attack,rare,4,Deal 4 physical damage,Watch for tetanus,Bleed,A long crooked iron nail covered in thick orange rust and dirt.,,A long crooked iron nail covered in thick orange rust and dirt.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
green_slime,green_slime_icon,10,Green Slime,Limo verde,Grüner Schleim,Vase verte,trap,rare,5,Take 5 damage,Sticky and gross,Slow,A puddle of translucent lime-green goo that is thick and viscous.,,A puddle of translucent lime-green goo that is thick and viscous.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
