ID,Name,name_es,name_de,name_fr,Type,Biome,HP,Stagger,Attack,Armor,Loot,loot_power,AI_Visual_Description,AI_reference,AI_idle,AI_talk
skeletal_sentry,Skeletal_Sentry,Centinela esquelético,Skelettwache,Sentinelle squelettique,Enemy,forest,25,12.5,5,0,"gold (2-8), skull",2,A bleached-white skeleton wearing a rusted half-helm. Green spectral flames flicker in the ribcage; holding a spear with a moss-covered shaft.,,,
giant_bee,Giant_Bee,Abeja gigante,Riesenbiene,Abeille géante,Enemy,forest,15,7.5,12,0,honey,2,An oversized fuzzy bee with iridescent wings and a menacing barbed stinger. Exaggerated compound eyes reflecting the forest canopy; vibrant yellow and black contrast.,,,
cultist,Cultist,Cultista,Kultist,Sectaire,Enemy,forest,30,15,7,0,"scroll, gold (5-12)",2,A figure in deep crimson robes embroidered with golden eyes. Face hidden by a wooden bird mask; clutching a glowing violet scroll.,,,
shadow_wraith,Shadow_Wraith,Espectro de sombra,Schattengeist,Spectre d'ombre,Enemy,forest,40,20,9,0,shadow_essence,2,A wispy amorphous cloud of smoke with elongated claw-like hands. Two pin-prick white eyes are the only solid features; edges blur into the background.,,,
dryad_corruptor,Corrupted_Dryad,Dríade corrupta,Korrupte Dryade,Dryade corrompue,Enemy,forest,45,22.5,8,0,emerald_seed,2,A humanoid figure made of gnarled blackened wood and wilted autumn leaves. Glowing purple veins pulse through the bark; tragic but menacing expression.,,,
briar_beast,Briar_Beast,Bestia de brezo,Dornenbestie,Bête de ronce,Enemy,forest,55,27.5,10,3,vine,2,A quadrupedal predator made of interwoven thorny vines. A singular glowing core acting as a heart; sharp wooden fangs and a bramble tail.,,,
feral_hound,Feral_Hound,Sabueso feral,Wildhund,Limier sauvage,Enemy,forest,20,10,11,0,pelt,2,A wolf-like creature with elongated limbs and glowing red eyes. Saliva dripping from a maw full of realistic needle-teeth; sleek dark fur.,,,
spore_servant,Spore_Servant,Siervo de esporas,Sporendiener,Serviteur de spores,Enemy,forest,35,17.5,6,0,mushroom,2,A fungal-infected zombie with large glowing mushrooms sprouting from its shoulders. A vacant stare and a trail of colorful toxic spores following its movement.,,,
river_lurker,River_Lurker,Acechador del río,Flusslauerer,Rôdeur de rivière,Enemy,forest,40,20,9,0,pearl,3,A reptilian humanoid with slick teal scales and webbed hands. Large bulbous eyes on the sides of the head; wearing necklaces made of river stones.,,,
brood_mother,Brood_Mother,Madre de la camada,Brutmutter,Mère de couvée,Enemy,forest,100,50,15,0,"silk, venom",3,A massive spider with a bloated abdomen covered in tiny unhatched eggs. Multiple glowing eyes and dripping fangs; dark velvet textures.,,,
ice_golem,Ice_Golem,Golem de hielo,Eisgolem,Golem de glace,Enemy,ice_caves,80,40,12,8,"gold (15-25), frost",3,A massive construct of jagged translucent blue ice. Internal fractures catch the light; heavy blocky limbs and a frozen breath effect.,,,
yeti,Yeti,Yeti,Yeti,Yéti,Enemy,ice_caves,120,60,18,0,"gold (40-80), axe",3,A mountain of white fur with massive blue horns and a protruding underbite. Large paws with black claws; breath creates a persistent mist.,,,
frost_wisp,Frost_Wisp,Fuego fatuo de escarcha,Frostirrlicht,Feu follet de givre,Enemy,ice_caves,30,15,15,0,frozen_tear,3,A small floating orb of concentrated blizzard energy. Jagged ice crystals orbit the center; leaves a trail of frost on the UI.,,,
tomb_wight,Tomb_Wight,Túmulo espectral,Grabunhold,Tertre-mort,Enemy,ice_caves,65,32.5,14,0,ancient_coin,3,A withered corpse in frozen rags. Skin is blue and mummified; holding a rusted ancient blade with ice-slicked edges.,,,
mimic_frost,Frost_Mimic,Mímico de escarcha,Frostmimik,Mimique de givre,Enemy,ice_caves,90,45,20,4,"trap, gold",3,A treasure chest with a jagged ice lid that opens to reveal a purple tongue and rows of diamond-sharp teeth. Icy drool hangs from the rim.,,,
ice_bat,Ice_Bat,Murciélago de hielo,Eisfledermaus,Chauve-souris de glace,Enemy,ice_caves,25,12.5,10,0,shard,3,A bat with wings made of thin sheets of ice. Transparent body revealing frozen organs; emits a high-pitched crystalline screech.,,,
snow_stalker,Snow_Stalker,Acechador de nieve,Schneelauerer,Traqueur des neiges,Enemy,ice_caves,70,35,22,0,white_fur,3,A sleek panther-like beast with white fur and glowing blue stripes. Moves with a low-to-the-ground slinking animation; silent footsteps.,,,
water_elemental,Freezing_Elemental,Elemental gélido,Gefrier-Elementar,Élémentaire de gel,Enemy,ice_caves,85,42.5,16,0,vial,4,A swirling vortex of slush and freezing water. Suspended ice chunks act as fists; core is a bright glowing sapphire.,,,
ghost_scholar,Ghost_Scholar,Erudito fantasma,Geistergelehrter,Érudit fantôme,Enemy,ice_caves,50,25,25,0,tome,4,A translucent blue ghost in tattered academic robes. Clutching a glowing tome; face is a mask of eternal studious concentration.,,,
kobold_miner,Kobold_Miner,Minero kobold,Koboldminer,Mineur kobold,Enemy,ice_caves,45,22.5,12,0,"ore, gold",4,A small lizard-man in a heavy parka and a candle-lit helmet. Gripping a pickaxe twice his size; soot-stained snout and tail.,,,
giant_scorpion,Giant_Scorpion,Escorpión gigante,Riesenskorpion,Scorpion géant,Enemy,desert,110,55,25,10,"poison_gland, heart",4,A massive arachnid with a sandy chitinous shell. Stinger glows with a neon-green toxin; realistic desert weathering on the carapace.,,,
sand_spirit,Sand_Spirit,Espíritu de arena,Sandgeist,Esprit des sables,Enemy,desert,70,35,30,0,potion,4,A humanoid torso emerging from a sand-devil. Face is a hollow porcelain mask; hands are made of swirling golden dust.,,,
skeleton_soldier,Desert_Soldier,Soldado del desierto,Wüstensoldat,Soldat du désert,Enemy,desert,90,45,22,0,rusty_sword,4,A skeleton in ancient sun-bleached bronze armor. Wearing a tattered kaffiyeh; holding a curved scimitar with a notched edge.,,,
fire_imp,Fire_Imp,Imp de fuego,Feuerimp,Diablotin de feu,Enemy,desert,50,25,35,0,bomb,4,A small winged demon with skin like cooling lava. Carrying a round black bomb with a sputtering fuse; manic wide-eyed expression.,,,
mummy_king,Mummy_King,Rey momia,Mumienkönig,Roi momie,Enemy,desert,200,100,30,5,golden_bandage,4,A tall figure wrapped in fine linen and gold chains. Wearing a heavy jewel-encrusted pharaoh's mask; slow regal movements.,,,
dust_devil,Dust_Devil,Remolino de polvo,Staubteufel,Diable de poussière,Enemy,desert,60,30,28,0,sand_glass,4,A whirling cyclone of grit and debris. Sharp rocks and glass shards spin within the funnel; two glowing orange eyes in the center.,,,
scarab_swarm,Scarab_Swarm,Enjambre de escarabajos,Skarabäusschwarm,Essaim de scarabées,Enemy,desert,40,20,40,0,carapace,5,A literal carpet of iridescent green and gold beetles. Chitinous clicking sounds and shimmering metallic reflections.,,,
ghoul,Desert_Ghoul,Necrófago del desierto,Wüstenguhl,Goule du désert,Enemy,desert,85,42.5,24,0,rotten_flesh,5,A gaunt gray-skinned humanoid with elongated limbs and a protruding tongue. Crouched in a predatory pounce; wearing scraps of nomad cloth.,,,
salt_golem,Salt_Golem,Golem de sal,Salzgolem,Golem de sel,Enemy,desert,150,75,20,15,salt_crystal,5,A blocky giant made of white crystalline salt cubes. Rubbing sound of stone on stone; sharp geometric edges and glowing amber eyes.,,,
shard_beast,Shard_Beast,Bestia de fragmentos,Splitterbestie,Bête d'éclat,Enemy,desert,100,50,32,0,glass_shard,5,A wolf-shaped construct made entirely of obsidian and glass shards. Highly reflective surface that catches the desert sun.,,,
mud_walker,Mud_Walker,Caminante del lodo,Schlammläufer,Marcheur de boue,Enemy,swamp,140,70,25,5,peat,5,A dripping mass of sludge and peat in a vaguely humanoid shape. Mossy branches for arms and a single sunken glowing eye.,,,
bog_horror,Bog_Horror,Horror de la ciénaga,Sumpfschrecken,Horreur des marais,Enemy,swamp,180,90,35,0,moss,5,A terrifying mix of elk and alligator parts covered in hanging swamp moss. Massive antlers and a toothy maw; dark muddy palette.,,,
willow_wisp,Willow_Wisp,Fuego fatuo,Irrlicht,Feu follet,Enemy,swamp,50,25,45,0,light_dust,5,A flickering greenish-blue orb of light. Core contains a tiny screaming face; leaves a trail of swamp gas.,,,
giant_croc,Giant_Crocodile,Cocodrilo gigante,Riesenkrokodil,Crocodile géant,Enemy,swamp,220,110,40,12,leather,5,A massive ancient croc with wooden-looking scales. Covered in lily pads and swamp weeds; yellow slit eyes.,,,
mist_stalker,Mist_Stalker,Acechador de la niebla,Nebellauerer,Traqueur de brume,Enemy,swamp,110,55,38,0,vapor,5,A translucent entity that looks like swirling gray fog. Elongated fingers and a featureless face; nearly invisible against the background.,,,
leech_swarm,Leech_Swarm,Enjambre de sanguijuelas,Blutegelschwarm,Essaim de sangsues,Enemy,swamp,60,30,50,0,blood_vial,6,A cluster of fat pulsing black slugs with circular tooth-lined maws. Slime-slicked textures and wet sound effects.,,,
drowned_sailor,Drowned_Sailor,Marinero ahogado,Ertrunkener Seemann,Marin noyé,Enemy,swamp,130,65,30,0,rusty_nail,6,A soggy undead sailor with a bloated gray face and seaweed in his hair. Dragging a heavy rusted anchor.,,,
vine_strangler,Vine_Strangler,Estrangulador de lianas,Rankenwürger,Étrangleur de lianes,Enemy,swamp,150,75,32,0,vine,6,A mass of sentient thick green vines with thorns. Central flower mouth that snaps at the player; wet leaf textures.,,,
ooze_cube,Ooze_Cube,Cubo gelatinoso,Schlammwürfel,Cube de vase,Enemy,swamp,200,100,20,20,slime,6,A transparent lime-green cube of jelly. Floating skeletal remains and half-dissolved items are visible inside.,,,
blood_flyer,Blood_Flyer,Volador de sangre,Blutflieger,Volant de sang,Enemy,swamp,80,40,42,0,proboscis,6,A giant mosquito with a pulsing red abdomen and needle-sharp legs. Veiny translucent wings and a twitching proboscis.,,,
deep_lurker,Deep_Lurker,Acechador de las profundidades,Tiefenlauerer,Rôdeur des profondeurs,Enemy,abyss,250,125,45,15,heavy_iron,6,A massive angler-fish-humanoid hybrid with thick leathery skin. A glowing lure dangles from its forehead; rows of translucent teeth.,,,
glow_eel,Glow_Eel,Anguila brillante,Leuchtaal,Anguille luisante,Enemy,abyss,150,75,55,0,neon_ink,6,A long serpentine eel with neon-cyan stripes that pulse with electricity. Fins look like tattered silk; dark deep-sea blue skin.,,,
drowned_captain,Drowned_Captain,Capitán ahogado,Ertrunkener Kapitän,Capitaine noyé,Enemy,abyss,300,150,50,10,gold_doubloon,6,"An undead officer in a heavy brass diving suit. Barnacles cover the metal; the glass visor is cracked, revealing a skeletal grin.",,,
bone_picker,Bone_Picker,Recolector de huesos,Knochensammler,Ramasseur d'os,Enemy,abyss,180,90,48,0,whale_oil,6,A small hunched creature with a massive backpack of scavenged whale bones. Wearing a mask made of a shark skull.,,,
heat_crab,Heat_Crab,Cangrejo de calor,Hitzekrabbe,Crabe de chaleur,Enemy,abyss,220,110,42,25,sulfur,7,A crab with a shell that looks like cooling volcanic rock. Steam vents on its back and pincers that glow orange-hot.,,,
void_ray,Void_Ray,Raya del vacío,Leerestrahl,Raie du vide,Enemy,abyss,160,80,60,0,echo_essence,7,"A manta-ray shape made of starry nebula gas. Fins ripple with space-like energy; no eyes, just a pulsing core.",,,
angler_fiend,Angler_Fiend,Demonio pescador,Anglerteufel,Démon pêcheur,Enemy,abyss,280,140,65,0,biolamp,7,A terrifying deep-sea predator with elongated spindly limbs. Multiple glowing lures and a jaw that unhinges 180 degrees.,,,
shock_jelly,Shock_Jelly,Medusa de choque,Schockqualle,Méduse électrique,Enemy,abyss,120,60,75,0,electric_gel,7,A massive jellyfish with long stinging tentacles that crackle with white lightning. Transparent body showing a glowing brain.,,,
merrow_king,Merrow_King,Rey Merrow,Merrow-König,Roi Merrow,Enemy,abyss,400,200,55,20,trident_tip,7,A majestic but decaying merman with a crown of black coral. Skin is translucent and pale; holding a heavy obsidian trident.,,,
current_wraith,Current_Wraith,Espectro de la corriente,Strömungsgeist,Spectre du courant,Enemy,abyss,200,100,62,0,ocean_tear,7,A ghost made entirely of bubbles and swirling dark water. Wields the crushing pressure of the deep like a weapon.,,,
void_stalker,Void_Stalker,Acechador del vacío,Leerenlauerer,Traqueur du vide,Enemy,void,400,200,70,20,void_scroll,7,A tall slender entity with skin like the night sky. Featureless face with three vertical glowing slits; glitched reality effects.,,,
brain_eater,Brain_Eater,Devorador de cerebros,Gehirnfresser,Dévoreur de cerveau,Enemy,void,350,175,85,0,mind_essence,7,An octopus-like creature with a massive exposed glowing brain. Tentacles end in surgical needles; floats with a pulsing aura.,,,
vampire_lord,Vampire_Lord,Señor vampiro,Vampirfürst,Seigneur vampire,Enemy,void,500,250,80,15,ancient_heart,7,A regal figure in black silk and armor. Skin is marble-white; eyes are pits of pure void; cape turns into shadows.,,,
forge_automaton,Forge_Automaton,Autómata de la forja,Schmiedeautomat,Automate de la forge,Enemy,void,600,300,65,40,obsidian_plate,8,A heavy mechanical guardian made of black obsidian. Glowing violet joints and a massive hammer for a hand.,,,
the_keeper,The_Keeper,El Guardián,Der Wächter,Le Gardien,Enemy,void,1000,500,100,50,master_key,8,A titan-sized entity in gold and white robes. Face is a giant floating golden keyhole; hands are made of constellation lines.,,,
gravity_well,Gravity_Well,Pozo de gravedad,Gravitationsbrunnen,Puits de gravité,Enemy,void,450,225,95,0,singularity,8,A floating black hole surrounded by orbiting debris. Screen distorts slightly when it moves; deep bass sound effects.,,,
echo_shade,Echo_Shade,Sombra del eco,Echoschatten,Ombre d'écho,Enemy,void,300,150,110,0,dark_mirror,8,A mirrored copy of the player character but in monochrome gray. Movements are slightly delayed; face is a cracked mirror.,,,
glitch_horror,Glitch_Horror,Horror de error,Glitch-Schrecken,Horreur de bug,Enemy,void,380,190,120,0,corrupt_data,8,An entity that shifts between 2D and 3D shapes. Covered in digital artifacts and flickering scanlines; high-pitched static sounds.,,,
rift_walker,Rift_Walker,Caminante de la grieta,Rissläufer,Marcheur de faille,Enemy,void,420,210,90,0,void_shard,8,A creature with multiple sets of legs and no torso. Walks through floating rifts; body is made of purple crystalline shards.,,,
silent_one,Silent_One,El Silencioso,Der Stille,Le Silencieux,Enemy,void,550,275,75,30,muffled_tongue,8,A monk in heavy leaden armor with his mouth sewn shut. Carries a massive bell that emits silence instead of sound.,,,
lava_slug,Lava_Slug,Babosa de lava,Lavaschnecke,Limace de lave,Enemy,the_core,600,300,90,30,fire_shard,8,A massive slug of molten orange rock. Leaves a trail of fire; body pulses with heat waves and air distortion.,,,
steam_mephit,Steam_Mephit,Mefit de vapor,Dampfmephit,Méphite de vapeur,Enemy,the_core,400,200,120,0,cloud_essence,8,A small imp made of pressurized steam. Hissing sounds and white vapor trails; face is a brass pressure gauge.,,,
iron_golem,Core_Guardian,Guardián del núcleo,Kernwächter,Gardien du noyau,Enemy,the_core,1200,600,100,80,pure_iron,9,A colossal knight made of white-hot iron. Every step creates a localized tremor; holding a massive molten shield.,,,
fire_bat,Fire_Bat,Murciélago de fuego,Feuerfledermaus,Chauve-souris de feu,Enemy,the_core,350,175,110,0,ember,9,A bat with wings made of solar flares. Body is a charred skeleton; leaves a shower of sparks when it flies.,,,
sulfur_spirit,Sulfur_Spirit,Espíritu de azufre,Schwefelgeist,Esprit de soufre,Enemy,the_core,500,250,130,0,sulfur_dust,9,A yellowish-green cloud of toxic gas with two angry glowing eyes. Face is permanently twisted in a choking expression.,,,
smelter_demon,Smelter_Demon,Demonio de fundición,Schmelzerdämon,Démon de fonderie,Enemy,the_core,1500,750,150,60,molten_core,9,A demonic titan with a furnace for a chest. Molten metal leaks from its mouth; horns are made of cooling black rock.,,,
rock_spider,Diamond_Spider,Araña de diamante,Diamantspinne,Araignée de diamant,Enemy,the_core,800,400,115,100,diamond,9,A spider with a body made of a single massive diamond. Sharp prismatic reflections; legs are needles of reinforced steel.,,,
ash_wraith,Ash_Wraith,Espectro de ceniza,Aschegeist,Spectre de cendres,Enemy,the_core,650,325,140,0,ash_pile,9,A spirit made of falling ash and embers. Shape is constantly shifting; eyes are the color of cooling coals.,,,
automaton_scout,Core_Scout,Explorador del núcleo,Kernspäher,Éclaireur du noyau,Enemy,the_core,550,275,125,45,power_cell,9,A small spherical drone with a single large red lens. Brass casing with spinning gears and steam vents.,,,
cinder_cat,Cinder_Cat,Gato de ceniza,Aschenschnell,Chat de braise,Enemy,the_core,700,350,160,0,burning_pelt,9,A large cat made of black charcoal with veins of fire. Fur is made of rising smoke; tail is a whip of flame.,,,
