Region,ID,ID_room,type,UID,difficulty_tier,Name,Dialog,Dialog Tree,NPC ID,Enemy,object_id,complete_condition,Event ID,Loot,AI_Visual_Description,AI_scene_prompt,AI_mapicon,AI_maproom,,,
town,town_general_store,town_general_store_room,event,t6,,General Store,,t6_store,merchant,,,,,backpack,"A cluttered shop interior, shelves stacked with crates, rope, and lanterns, a wooden counter, sunlight streaming through a small window, detailed rustic textures.","2d rpg scroller. cartoon realism. no characters. no icons
background A cluttered shop interior, shelves stacked with crates, rope, and lanterns, a wooden counter, sunlight streaming through a small window, detailed rustic textures.","A cluttered shop interior, shelves stacked with crates, rope, and lanterns, a wooden counter, sunlight streaming through a small window, detailed rustic textures.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A cluttered shop interior, shelves stacked with crates, rope, and lanterns, a wooden counter, sunlight streaming through a small window, detailed rustic textures. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_dimly_lit_alley,town_dimly_lit_alley_room,battle,t7,2,Dimly Lit Alley,It's quieter here. Someone is watching from the shadows.,,,pickpocket,,,,gold,"A narrow damp alleyway between tall brick buildings, long shadows, a single flickering lantern, wet cobblestones, mysterious and moody atmosphere.","2d rpg scroller. cartoon realism. no characters. no icons
background A narrow damp alleyway between tall brick buildings, long shadows, a single flickering lantern, wet cobblestones, mysterious and moody atmosphere.","A narrow damp alleyway between tall brick buildings, long shadows, a single flickering lantern, wet cobblestones, mysterious and moody atmosphere.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A narrow damp alleyway between tall brick buildings, long shadows, a single flickering lantern, wet cobblestones, mysterious and moody atmosphere. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_old_library,town_old_library_room,event,t8,,Old Library,Dust motes dance in the light filtering through stained glass.,,librarian,,,,,scroll,"Massive wooden bookshelves reaching the ceiling, ladders, stained glass windows casting colorful patterns on the floor, ancient scrolls, quiet scholarly atmosphere.","2d rpg scroller. cartoon realism. no characters. no icons
background Massive wooden bookshelves reaching the ceiling, ladders, stained glass windows casting colorful patterns on the floor, ancient scrolls, quiet scholarly atmosphere.","Massive wooden bookshelves reaching the ceiling, ladders, stained glass windows casting colorful patterns on the floor, ancient scrolls, quiet scholarly atmosphere.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","Massive wooden bookshelves reaching the ceiling, ladders, stained glass windows casting colorful patterns on the floor, ancient scrolls, quiet scholarly atmosphere. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_the_town_well,town_the_town_well_room,event,t9,,The Town Well,The water is cool and clear. Pennies glitter at the bottom.,,,,,,,luck_charm,"A stone well in a small grassy clearing, wooden bucket, clear blue water reflecting the sky, small flowers growing between stones, peaceful village scene.","2d rpg scroller. cartoon realism. no characters. no icons
background A stone well in a small grassy clearing, wooden bucket, clear blue water reflecting the sky, small flowers growing between stones, peaceful village scene.","A stone well in a small grassy clearing, wooden bucket, clear blue water reflecting the sky, small flowers growing between stones, peaceful village scene.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A stone well in a small grassy clearing, wooden bucket, clear blue water reflecting the sky, small flowers growing between stones, peaceful village scene. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_guard_barracks,town_guard_barracks_room,battle,t10,1,Guard Barracks,Soldiers practice their drills in the courtyard.,,captain,training_dummy,,,,shield,"A fortified stone courtyard, weapon racks with spears and shields, training dummies, stone barracks in the background, organized and military aesthetic.","2d rpg scroller. cartoon realism. no characters. no icons
background A fortified stone courtyard, weapon racks with spears and shields, training dummies, stone barracks in the background, organized and military aesthetic.","A fortified stone courtyard, weapon racks with spears and shields, training dummies, stone barracks in the background, organized and military aesthetic.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A fortified stone courtyard, weapon racks with spears and shields, training dummies, stone barracks in the background, organized and military aesthetic. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_village_stables,town_village_stables_room,event,t11,,Village Stables,The smell of hay and horses is comforting.,,stablehand,,,,,apple,"A wooden stable with golden hay on the floor, horse stalls, leather saddles hanging on the walls, soft sunlight, rural farm charm.","2d rpg scroller. cartoon realism. no characters. no icons
background A wooden stable with golden hay on the floor, horse stalls, leather saddles hanging on the walls, soft sunlight, rural farm charm.","A wooden stable with golden hay on the floor, horse stalls, leather saddles hanging on the walls, soft sunlight, rural farm charm.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A wooden stable with golden hay on the floor, horse stalls, leather saddles hanging on the walls, soft sunlight, rural farm charm. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_small_chapel,town_small_chapel_room,event,t12,,Small Chapel,A place of quiet contemplation and healing.,,priest,,,,,holy_water,"A humble stone chapel, simple wooden pews, a small altar with a white candle, sunlight through a circular window, serene and holy atmosphere.","2d rpg scroller. cartoon realism. no characters. no icons
background A humble stone chapel, simple wooden pews, a small altar with a white candle, sunlight through a circular window, serene and holy atmosphere.","A humble stone chapel, simple wooden pews, a small altar with a white candle, sunlight through a circular window, serene and holy atmosphere.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A humble stone chapel, simple wooden pews, a small altar with a white candle, sunlight through a circular window, serene and holy atmosphere. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_bakers_hearth,town_bakers_hearth_room,event,t13,,Baker's Hearth,The scent of fresh bread is nearly overwhelming.,,baker,,,,,bread,"A warm stone kitchen, a large brick oven with glowing embers, stacks of fresh bread and flour-dusted tables, cozy and domestic.","2d rpg scroller. cartoon realism. no characters. no icons
background A warm stone kitchen, a large brick oven with glowing embers, stacks of fresh bread and flour-dusted tables, cozy and domestic.","A warm stone kitchen, a large brick oven with glowing embers, stacks of fresh bread and flour-dusted tables, cozy and domestic.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A warm stone kitchen, a large brick oven with glowing embers, stacks of fresh bread and flour-dusted tables, cozy and domestic. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_graveyard_path,town_graveyard_path_room,event,t14,,Graveyard Path,The iron fence creaks. It's surprisingly well-kept.,,gravedigger,,,,,flower,"A path between tilted ancient tombstones, a wrought iron fence with vines, neatly trimmed grass, overcast sky, gothic and melancholy.","2d rpg scroller. cartoon realism. no characters. no icons
background A path between tilted ancient tombstones, a wrought iron fence with vines, neatly trimmed grass, overcast sky, gothic and melancholy.","A path between tilted ancient tombstones, a wrought iron fence with vines, neatly trimmed grass, overcast sky, gothic and melancholy.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A path between tilted ancient tombstones, a wrought iron fence with vines, neatly trimmed grass, overcast sky, gothic and melancholy. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_mayors_manor,town_mayors_manor_room,event,t15,,Mayor's Manor,,t15_mayor,mayor,,,,,letter,"A grand two-story manor with white stone walls and blue roof tiles, manicured gardens, large glass windows, opulent high-society fantasy architecture.","2d rpg scroller. cartoon realism. no characters. no icons
background A grand two-story manor with white stone walls and blue roof tiles, manicured gardens, large glass windows, opulent high-society fantasy architecture.","A grand two-story manor with white stone walls and blue roof tiles, manicured gardens, large glass windows, opulent high-society fantasy architecture.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A grand two-story manor with white stone walls and blue roof tiles, manicured gardens, large glass windows, opulent high-society fantasy architecture. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_hidden_cellar,town_hidden_cellar_room,battle,t16,2,Hidden Cellar,You find a stash hidden beneath the floorboards of an old house.,,,giant_rat,,,,rusty_key,"A dark damp cellar with loose wooden floorboards, cobwebs, old crates, a single candle, earthy tones, secret atmosphere.","2d rpg scroller. cartoon realism. no characters. no icons
background A dark damp cellar with loose wooden floorboards, cobwebs, old crates, a single candle, earthy tones, secret atmosphere.","A dark damp cellar with loose wooden floorboards, cobwebs, old crates, a single candle, earthy tones, secret atmosphere.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A dark damp cellar with loose wooden floorboards, cobwebs, old crates, a single candle, earthy tones, secret atmosphere. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_training_grounds,town_training_grounds_room,event,t17,,Training Grounds,Local militia train here to protect the village.,,instructor,,,,,wooden_sword,"An open dirt field, combat dummies, target circles for archery, wooden practice swords, dust clouds, midday sun.","2d rpg scroller. cartoon realism. no characters. no icons
background An open dirt field, combat dummies, target circles for archery, wooden practice swords, dust clouds, midday sun.","An open dirt field, combat dummies, target circles for archery, wooden practice swords, dust clouds, midday sun.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","An open dirt field, combat dummies, target circles for archery, wooden practice swords, dust clouds, midday sun. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_clock_tower,town_clock_tower_room,event,t18,,Clock Tower,"The gears turn with a rhythmic, grounding thrum.",,,,,,,pocket_watch,"Inside a tall tower, massive brass and iron gears interlocking, rhythmic motion, dust in the light beams, mechanical steampunk-lite aesthetic.","2d rpg scroller. cartoon realism. no characters. no icons
background Inside a tall tower, massive brass and iron gears interlocking, rhythmic motion, dust in the light beams, mechanical steampunk-lite aesthetic.","Inside a tall tower, massive brass and iron gears interlocking, rhythmic motion, dust in the light beams, mechanical steampunk-lite aesthetic.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","Inside a tall tower, massive brass and iron gears interlocking, rhythmic motion, dust in the light beams, mechanical steampunk-lite aesthetic. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_beggars_corner,town_beggars_corner_room,event,t19,,Beggar's Corner,,t19_beggar,old_man,,,,,riddle,"A street corner with a tattered rug and a small fire in a barrel, lean-to made of scrap wood, gritty urban fantasy detail.","2d rpg scroller. cartoon realism. no characters. no icons
background A street corner with a tattered rug and a small fire in a barrel, lean-to made of scrap wood, gritty urban fantasy detail.","A street corner with a tattered rug and a small fire in a barrel, lean-to made of scrap wood, gritty urban fantasy detail.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A street corner with a tattered rug and a small fire in a barrel, lean-to made of scrap wood, gritty urban fantasy detail. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_the_elders_hall,town_the_elders_hall_room,event,t20,,The Elder's Hall,The leaders of the town gather here to discuss the future.,,village_elder,,,,,medal,"A formal hall with a long polished oak table, high-backed chairs, banners hanging on the walls, a large fireplace, stately and serious.","2d rpg scroller. cartoon realism. no characters. no icons
background A formal hall with a long polished oak table, high-backed chairs, banners hanging on the walls, a large fireplace, stately and serious.","A formal hall with a long polished oak table, high-backed chairs, banners hanging on the walls, a large fireplace, stately and serious.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A formal hall with a long polished oak table, high-backed chairs, banners hanging on the walls, a large fireplace, stately and serious. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_home,town_home_room,home,t0,0,Home room,,,,,,,,,A cozy multi-story dwelling with a hearth fire and plush rugs. Windows overlook the bustling market square below.,,"A cozy multi-story dwelling with a hearth fire and plush rugs. Windows overlook the bustling market square below.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A cozy multi-story dwelling with a hearth fire and plush rugs. Windows overlook the bustling market square below. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_default,town_default_room,event,t21,1,Default Room,,,,,,,,,A vibrant cobblestone plaza filled with colorful stalls and diverse NPCs. A large fountain featuring a hero's likeness serves as the central landmark.,,"A vibrant cobblestone plaza filled with colorful stalls and diverse NPCs. A large fountain featuring a hero's likeness serves as the central landmark.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A vibrant cobblestone plaza filled with colorful stalls and diverse NPCs. A large fountain featuring a hero's likeness serves as the central landmark. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_boss,town_boss_room,boss,t22,3,Boss Room,,,,,,,,,The grand courtyard of a fortified manor. Iron gates have slammed shut and the air is thick with the smell of scorched ozone.,,"The grand courtyard of a fortified manor. Iron gates have slammed shut and the air is thick with the smell of scorched ozone.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","The grand courtyard of a fortified manor. Iron gates have slammed shut and the air is thick with the smell of scorched ozone. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_overgrown_path,forest_overgrown_path_room,battle,f1,3,Overgrown Path,,f1_encounter,,skeletal_sentry,,,,bandage,"A narrow dirt trail nearly reclaimed by the jungle, thick ferns, twisted vines, ancient mossy stones, emerald green canopy.","2d rpg scroller. cartoon realism. no characters. no icons
background A narrow dirt trail nearly reclaimed by the jungle, thick ferns, twisted vines, ancient mossy stones, emerald green canopy.","A narrow dirt trail nearly reclaimed by the jungle, thick ferns, twisted vines, ancient mossy stones, emerald green canopy.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A narrow dirt trail nearly reclaimed by the jungle, thick ferns, twisted vines, ancient mossy stones, emerald green canopy. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_old_shrine,forest_old_shrine_room,battle,f2,3,Old Shrine,,f2_shrine,,cultist,,,,scroll,"A crumbling stone altar covered in ivy, a small statue of a forgotten deity, glowing blue runes, mystical forest clearing.","2d rpg scroller. cartoon realism. no characters. no icons
background A crumbling stone altar covered in ivy, a small statue of a forgotten deity, glowing blue runes, mystical forest clearing.","A crumbling stone altar covered in ivy, a small statue of a forgotten deity, glowing blue runes, mystical forest clearing.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A crumbling stone altar covered in ivy, a small statue of a forgotten deity, glowing blue runes, mystical forest clearing. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_the_wanderer,forest_the_wanderer_room,event,f3,,The Wanderer,,f3_merchant,merchant,,,,,gold,"A colorful merchant wagon parked under a giant willow, hanging lanterns, exotic fabrics, woodland setting.","2d rpg scroller. cartoon realism. no characters. no icons
background A colorful merchant wagon parked under a giant willow, hanging lanterns, exotic fabrics, woodland setting.","A colorful merchant wagon parked under a giant willow, hanging lanterns, exotic fabrics, woodland setting.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A colorful merchant wagon parked under a giant willow, hanging lanterns, exotic fabrics, woodland setting. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_buzzing_hollow,forest_buzzing_hollow_room,battle,f4,3,Buzzing Hollow,The trees here are hollowed out by giant insects.,,,giant_bee,,,,heart,"Rotting hollowed-out tree trunks, sticky golden resin, giant honeycomb structures, swarms of insects in the air, amber lighting.","2d rpg scroller. cartoon realism. no characters. no icons
background Rotting hollowed-out tree trunks, sticky golden resin, giant honeycomb structures, swarms of insects in the air, amber lighting.","Rotting hollowed-out tree trunks, sticky golden resin, giant honeycomb structures, swarms of insects in the air, amber lighting.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","Rotting hollowed-out tree trunks, sticky golden resin, giant honeycomb structures, swarms of insects in the air, amber lighting. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_shadow_grove,forest_shadow_grove_room,battle,f5,3,Shadow Grove,,f5_shadows,,shadow_wraith,,,,frost,"A dark part of the forest where trees have black bark, purple mist on the ground, no sunlight reaches the floor, eerie and cold.","2d rpg scroller. cartoon realism. no characters. no icons
background A dark part of the forest where trees have black bark, purple mist on the ground, no sunlight reaches the floor, eerie and cold.","A dark part of the forest where trees have black bark, purple mist on the ground, no sunlight reaches the floor, eerie and cold.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A dark part of the forest where trees have black bark, purple mist on the ground, no sunlight reaches the floor, eerie and cold. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_elder_oak,forest_elder_oak_room,battle,f6,3,Elder Oak,A tree so massive its canopy blots out the sun.,,,dryad_corruptor,,,,wood_charm,"A colossal oak tree with a trunk the size of a building, glowing roots, swirling magical energy, majestic and ancient.","2d rpg scroller. cartoon realism. no characters. no icons
background A colossal oak tree with a trunk the size of a building, glowing roots, swirling magical energy, majestic and ancient.","A colossal oak tree with a trunk the size of a building, glowing roots, swirling magical energy, majestic and ancient.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A colossal oak tree with a trunk the size of a building, glowing roots, swirling magical energy, majestic and ancient. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_thistle_thicket,forest_thistle_thicket_room,battle,f7,4,Thistle Thicket,Thorns pull at your cloak like desperate fingers.,,,briar_beast,,,,herb,"A wall of sharp brambles and thorny vines, dark grey and brown colors, jagged edges, oppressive and dangerous foliage.","2d rpg scroller. cartoon realism. no characters. no icons
background A wall of sharp brambles and thorny vines, dark grey and brown colors, jagged edges, oppressive and dangerous foliage.","A wall of sharp brambles and thorny vines, dark grey and brown colors, jagged edges, oppressive and dangerous foliage.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A wall of sharp brambles and thorny vines, dark grey and brown colors, jagged edges, oppressive and dangerous foliage. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_moonlit_glade,forest_moonlit_glade_room,event,f8,,Moonlit Glade,"A peaceful clearing, though the silence is unsettling.",,,,,,,elixir,"A perfect circle of grass in the forest, bright moonlight, silver reflections, white flowers, surreal and quiet.","2d rpg scroller. cartoon realism. no characters. no icons
background A perfect circle of grass in the forest, bright moonlight, silver reflections, white flowers, surreal and quiet.","A perfect circle of grass in the forest, bright moonlight, silver reflections, white flowers, surreal and quiet.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A perfect circle of grass in the forest, bright moonlight, silver reflections, white flowers, surreal and quiet. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
forest,forest_hunters_blind,forest_hunters_blind_room,battle,f9,4,Hunter's Blind,Discarded bows and old leather rot in the humidity.,,,feral_hound,,,,arrow,"A camouflage structure made of branches and moss, rotting leather scraps, humid air, dense green undergrowth.","2d rpg scroller. cartoon realism. no characters. no icons
background A camouflage structure made of branches and moss, rotting leather scraps, humid air, dense green undergrowth.","A camouflage structure made of branches and moss, rotting leather scraps, humid air, dense green undergrowth.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A camouflage structure made of branches and moss, rotting leather scraps, humid air, dense green undergrowth. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
